,Onset,End,timezone,Eocum,Dpo,Tpeak,WLres,Wpre_exposed,Wpre_partially,Wpre_sheltered,dW_exposed,dW_partially,dW_sheltered
45,8/08/1995 18:00,10/08/1995 10:00,AEST,340944.4106,171.92517470723735,12.2,0.086208529,,,,,,
46,5/09/1995 23:00,7/09/1995 12:00,AEST,199275.5604,173.73744990236926,12.2,0.132249118,,,,,,
47,25/09/1995 9:00,27/09/1995 17:00,AEST,721840.0722,146.9877822229121,14.28,0.292060891,,,,,,
48,30/09/1995 19:00,1/10/1995 3:00,AEST,53466.58915,137.28191493402022,13.5,-0.014234719,56.847775,41.58484393,24.49319069,,,
49,24/10/1995 0:00,24/10/1995 19:00,AEST,159846.5471,182.0566389403956,10.52,0.053406972,,,,,,
50,23/11/1995 9:00,23/11/1995 21:00,AEST,83606.71334,184.22830883060053,10.52,0.0994177,,,,,,
51,21/12/1995 13:00,22/12/1995 13:00,AEST,204499.1396,180.27993732572256,13.33,0.237139373,,,,,,
52,12/02/1996 16:00,16/02/1996 23:00,AEST,498031.5049,147.26736756526643,14.28,0.209533129,,,,,,
53,18/03/1996 15:00,19/03/1996 9:00,AEST,147709.3897,166.05257803436638,18.18,0.17766864,63.61123654,41.55961028,32.35789657,,,
54,3/05/1996 3:00,5/05/1996 23:00,AEST,334598.3526,70.61984729611788,13.5,0.015917823,,,,,,
55,13/05/1996 15:00,14/05/1996 0:00,AEST,67574.40027,181.84947283100817,12.2,0.035744248,,,,,,
56,15/07/1996 4:00,16/07/1996 16:00,AEST,241531.7556,155.32372852734426,11.76,,,,,,,
57,19/08/1996 10:00,20/08/1996 7:00,AEST,212789.1377,173.6668535432617,12.5,,56.22758269,41.74746075,26.58338676,,,
58,30/08/1996 18:00,1/09/1996 23:00,AEST,687017.2081,143.02403344134837,12.5,0.257046274,,,,,,
59,5/11/1996 8:00,7/11/1996 4:00,AEST,332145.0808,179.7930747782824,11.76,0.107664368,,,,,,
